Côtes-du-Rhône Rouge 2017,2017,120,3.7,1539,France
Ventoux Terrasses 2015,2015,79.95,3.7,1538,France
Veraton Garnacha 2017,2017,199,4.3,1519,Spain
Single Vineyard Tannat 2016,2016,239.95,4.2,1514,Uruguay
Ribera Del Duero 12 Meses en Barrica (Crianza) 2016,2016,549.95,3.9,1512,Spain
Mea Culpa Rosso N.V.,9999,129,4.2,1510,Italy
Quatro Castas 4 2017,2017,119,3.9,1508,Portugal
Saint-Estèphe (Grand Cru Classé) 2012,2012,895,4.2,1507,France
Limited Selection Cabernet Sauvignon - Carmenère 2017,2017,125,3.8,1505,Chile
M Malbec 2018,2018,75,3.7,1505,Argentina
Petite Petit 2016,2016,189,3.9,1499,United States
Pinot Noir Bourgogne 'Les Ursulines' 2017,2017,225,3.6,1492,France
Valbuena 5º 2015,2015,995,4.7,1492,Spain
Mandolás Furmint 2017,2017,215,3.9,1488,Hungary
One Point Five Cabernet Sauvignon 2016,2016,629,4.5,1483,United States
Flor de Pingus 2009,2009,1250,4.6,1475,Spain
AN/2 2018,2018,159,4.0,1469,Spain
Red 2018,2018,279.95,4.4,1467,Spain
Côtes-du-Rhône Rouge 2009,2009,109.95,3.5,1464,France
Pinot Noir 2018,2018,269,4.0,1461,United States
Cabernet Sauvignon 2019,2019,99,3.9,1452,United States
Touriga Nacional 2018,2018,79,3.8,1451,Portugal
Pinot Noir 2017,2017,95,3.6,1449,New Zealand
Bricco dell'Uccellone Barbera d'Asti 2016,2016,499.95,4.3,1448,Italy
Toscana 2016,2016,229,3.9,1447,Italy
Rioja Reserva 2012,2012,159,4.2,1443,Spain
Falanghina 2018,2018,129,3.8,1437,Italy
Lugana Vigneto Massoni 2018,2018,165,4.1,1435,Italy
Barda Pinot Noir 2015,2015,149.95,3.9,1434,Argentina
Tinto 2016,2016,259.95,4.3,1433,Spain
Sito Moresco Langhe 2017,2017,349,4.1,1427,Italy
Russian River Valley Pinot Noir 2018,2018,199,4.0,1425,United States
Taurasi 2013,2013,169.95,3.9,1423,Italy
Montebruna Barbera d'Asti 2017,2017,169.95,3.9,1417,Italy
Gran Enemigo Single Vineyard Chacayes Cabernet Franc 2014,2014,599.95,4.6,1416,Argentina
Cuvée Terlaner (Classico) 2016,2016,149.95,3.9,1414,Italy
Monastrell 2018,2018,119,3.7,1404,Spain
Termes 2013,2013,199,3.9,1403,Spain
Vigneto Monte Sant'Urbano Amarone della Valpolicella Classico 2011,2011,429,4.3,1402,Italy
Pinot Noir 2017,2017,229,4.0,1395,United States
Montepulciano d'Abruzzo (Unico) 2018,2018,119,4.0,1387,Italy
Arneis Langhe Blangé 2015,2015,159.95,3.8,1381,Italy
Barbaresco 2017,2017,269.95,4.2,1381,Italy
Gran Enemigo Single Vineyard Chacayes Cabernet Franc 2015,2015,450,4.6,1381,Argentina
Chardonnay 2018,2018,159,3.8,1378,United States
Grand Estates Merlot 2015,2015,179,3.7,1360,United States
Malbec 2017,2017,179.95,3.7,1359,Argentina
Tenuta Tignanello 'Marchese Antinori' Chianti Classico Riserva 2017,2017,255,4.3,1352,Italy
Chardonnay 2016,2016,249.95,4.2,1351,Argentina
La Grola 2016,2016,249,4.0,1349,Italy
de La Tierra 2018,2018,119,3.7,1347,Spain
Single Vineyard Tannat 2017,2017,199.95,4.2,1346,Uruguay
Valpolicella Ripasso Classico Superiore 2018,2018,99,3.7,1344,Italy
Red Blend 2018,2018,69.95,3.8,1342,Argentina
Médoc 2016,2016,169.95,3.8,1341,France
Boira' Sangiovese 2018,2018,109,3.5,1335,Italy
Special Selection Cabernet Sauvignon 2016,2016,1495,4.7,1331,United States
Massal 1945 Carmenère 2016,2016,149.95,4.1,1328,Chile
Tinto N.V.,9999,39.95,3.3,1326,Spain
Amarone della Valpolicella Classico 2009,2009,879,4.4,1325,Italy
Zinfandel 2015,2015,159,3.8,1320,United States
Chardonnay 2015,2015,249.95,4.2,1311,Argentina
Amon-Ra Shiraz 2012,2012,599,4.4,1311,Australia
Cabernet Sauvignon (Cs) 2016,2016,229,3.8,1308,United States
Chardonnay 2013,2013,299.95,4.1,1307,Argentina
TD9 2016,2016,435,4.3,1303,United States
Côtes-du-Rhône Cuvée Philipson 2010,2010,79.95,3.5,1303,France
Vintner's Reserve Pinot Noir 2017,2017,199,3.7,1301,United States
Syrah 2017,2017,79.95,4.0,1299,France
Sangiovese Toscana 2019,2019,99,3.9,1287,Italy
Appellation Malbec 2016,2016,139,4.0,1284,Argentina
Te Koko Sauvignon Blanc 2014,2014,419,4.1,1284,New Zealand
Bourgogne Hautes-Côtes de Beaune 2016,2016,220,3.8,1282,France
Amarone della Valpolicella Classico 2016,2016,389,4.3,1273,Italy
Beaune du Château Premier Cru 2015,2015,1000,4.1,1271,France
Beaujolais-Villages Combe aux Jacques 2019,2019,109,3.8,1270,France
Palazzo della Torre 2017,2017,139.95,4.1,1270,Italy
Dagromis Barolo 2015,2015,599.95,4.4,1267,Italy
Grand Veneur Côtes du Rhône (Réserve) 2019,2019,119.95,3.7,1264,France
Zarihs Syrah 2016,2016,149,4.1,1259,Spain
Vigne Vecchie Gold Series Leggenda Primitivo di Manduria 2016,2016,169,4.3,1257,Italy
Taurasi 2014,2014,249,3.9,1256,Italy
KARIA Chardonnay 2017,2017,349,4.1,1252,United States
Bordeaux 2016,2016,99.95,3.6,1250,France
Appassite Negroamaro - Primitivo 2019,2019,89.17,4.1,1249,Italy
Barrua 2015,2015,250,4.1,1246,Italy
Brunello di Montalcino 2013,2013,345,4.2,1244,Italy
Gigondas 2015,2015,250,3.9,1243,France
Sonoma Coast Pinot Noir 2016,2016,389,4.2,1237,United States
7 Fuentes 2017,2017,150,3.3,1237,Spain
Beaune du Château Premier Cru 2016,2016,900,4.1,1237,France
Pinot Noir 2018,2018,179,3.7,1235,Chile
125 Uno Due Cinque Primitivo del Salento 2017,2017,65,4.0,1234,Italy
Châteauneuf-du-Pape La Bernardine 2016,2016,349,4.2,1232,France
Touriga Nacional 2015,2015,199.95,4.0,1231,Portugal
Rioja Reserva 2014,2014,179,4.0,1229,Spain
Appassimento Rosso 2019,2019,89.17,4.3,1227,Italy
Birbet N.V.,9999,139.95,4.1,1226,Italy
Tinto 2017,2017,375,4.4,1225,Spain
